t,firing_rate,mean_membrane,mean_weight,mean_pre_trace,mean_post_trace,n_refractory
226,0.010000,0.457369,0.450871,0.157101,0.157101,184
227,0.000000,0.459289,0.450871,0.149246,0.149246,167
228,0.000000,0.460825,0.450871,0.141784,0.141784,150
229,0.010000,0.451342,0.450881,0.144694,0.144694,153
230,0.000000,0.454467,0.450881,0.137460,0.137460,136
231,0.010000,0.453193,0.450889,0.140587,0.140587,141
232,0.000000,0.458348,0.450889,0.133557,0.133557,125
233,0.010000,0.457787,0.450889,0.136879,0.136879,130
234,0.010000,0.454938,0.450907,0.140036,0.140036,134
235,0.010000,0.452603,0.450919,0.143034,0.143034,138
236,0.010000,0.449191,0.450933,0.145882,0.145882,141
237,0.000000,0.451146,0.450933,0.138588,0.138588,123
238,0.000000,0.462310,0.450933,0.131659,0.131659,110
239,0.000000,0.471241,0.450933,0.125076,0.125076,97
240,0.000000,0.491186,0.450933,0.118822,0.118822,89
241,0.020000,0.491898,0.450933,0.132881,0.132881,121
242,0.040000,0.475219,0.450973,0.166237,0.166237,191
243,0.010000,0.473208,0.450986,0.167925,0.167925,197
244,0.030000,0.450666,0.451020,0.189529,0.189529,242
245,0.000000,0.451526,0.451020,0.180052,0.180052,224
246,0.000000,0.455414,0.451020,0.171050,0.171050,207
247,0.000000,0.460924,0.451020,0.162497,0.162497,191
248,0.000000,0.465332,0.451020,0.154372,0.154372,175
249,0.000000,0.468858,0.451020,0.146654,0.146654,159
250,0.000000,0.474079,0.451020,0.139321,0.139321,144
251,0.020000,0.458802,0.451050,0.152355,0.152355,169
252,0.000000,0.462834,0.451050,0.144737,0.144737,153
253,0.000000,0.466060,0.451050,0.137500,0.137500,137
254,0.000000,0.471041,0.451050,0.130625,0.130625,122
255,0.000000,0.477425,0.451050,0.124094,0.124094,108
256,0.000000,0.484133,0.451050,0.117889,0.117889,95
257,0.030000,0.465989,0.451055,0.141995,0.141995,143
258,0.010000,0.463899,0.451070,0.144895,0.144895,148
259,0.010000,0.456200,0.451096,0.147650,0.147650,152
260,0.010000,0.451268,0.451110,0.150268,0.150268,155
261,0.000000,0.452007,0.451110,0.142754,0.142754,137
262,0.000000,0.458198,0.451110,0.135617,0.135617,121
263,0.010000,0.465391,0.451110,0.138836,0.138836,129
264,0.000000,0.475305,0.451110,0.131894,0.131894,117
265,0.010000,0.484095,0.451127,0.135299,0.135299,128
266,0.000000,0.496669,0.451127,0.128534,0.128534,118
267,0.050000,0.472060,0.451165,0.172108,0.172108,208
268,0.010000,0.467957,0.451165,0.173502,0.173502,213
269,0.030000,0.444865,0.451203,0.194827,0.194827,257
270,0.000000,0.445284,0.451203,0.185086,0.185086,238
271,0.000000,0.445620,0.451203,0.175831,0.175831,219
272,0.000000,0.450688,0.451203,0.167040,0.167040,202
273,0.000000,0.454743,0.451203,0.158688,0.158688,185
274,0.000000,0.457987,0.451203,0.150754,0.150754,168
275,0.000000,0.460582,0.451203,0.143216,0.143216,151
276,0.010000,0.455097,0.451212,0.146055,0.146055,154
277,0.010000,0.444865,0.451217,0.148752,0.148752,156
278,0.000000,0.451684,0.451217,0.141315,0.141315,140
279,0.000000,0.459539,0.451217,0.134249,0.134249,125
280,0.000000,0.468224,0.451217,0.127537,0.127537,111
281,0.010000,0.470486,0.451217,0.131160,0.131160,118
282,0.010000,0.469897,0.451224,0.134602,0.134602,124
283,0.000000,0.474110,0.451224,0.127872,0.127872,109
284,0.010000,0.473595,0.451238,0.131478,0.131478,115
285,0.020000,0.464460,0.451265,0.144904,0.144904,140
286,0.000000,0.467360,0.451265,0.137659,0.137659,124
287,0.000000,0.469681,0.451265,0.130776,0.130776,108
288,0.010000,0.470167,0.451265,0.134237,0.134237,117
289,0.010000,0.470815,0.451284,0.137525,0.137525,126
290,0.000000,0.487644,0.451284,0.130649,0.130649,117
291,0.000000,0.501107,0.451284,0.124117,0.124117,108
292,0.040000,0.484985,0.451310,0.157911,0.157911,179
293,0.000000,0.490981,0.451310,0.150015,0.150015,166
294,0.030000,0.468884,0.451333,0.172514,0.172514,213
295,0.030000,0.445619,0.451355,0.193889,0.193889,257
296,0.000000,0.445887,0.451355,0.184194,0.184194,238
297,0.000000,0.447702,0.451355,0.174985,0.174985,220
298,0.000000,0.452354,0.451355,0.166235,0.166235,203
299,0.000000,0.456075,0.451355,0.157924,0.157924,186
300,0.000000,0.459052,0.451355,0.150027,0.150027,169
301,0.000000,0.461434,0.451355,0.142526,0.142526,152
302,0.000000,0.465739,0.451355,0.135400,0.135400,136
303,0.020000,0.452003,0.451368,0.148630,0.148630,161
304,0.000000,0.455795,0.451368,0.141198,0.141198,144
305,0.010000,0.454143,0.451368,0.144138,0.144138,148
306,0.010000,0.455222,0.451378,0.146931,0.146931,153
307,0.010000,0.455010,0.451378,0.149585,0.149585,157
308,0.010000,0.450315,0.451392,0.152106,0.152106,160
309,0.010000,0.446084,0.451398,0.154500,0.154500,163
310,0.000000,0.451060,0.451398,0.146775,0.146775,146
311,0.000000,0.455040,0.451398,0.139437,0.139437,129
312,0.000000,0.458224,0.451398,0.132465,0.132465,112
313,0.000000,0.468771,0.451398,0.125841,0.125841,99
314,0.000000,0.477209,0.451398,0.119549,0.119549,86
315,0.000000,0.491960,0.451398,0.113572,0.113572,76
316,0.000000,0.509360,0.451398,0.107893,0.107893,69
317,0.040000,0.496387,0.451424,0.142499,0.142499,142
